CircuitId,led
2117,0
2118,0
2119,0
2120,1
2121,1
2122,1
2123,2
2124,2
2125,2
2126,3
2127,3
2128,3
2129,4
2130,4
2131,4
2132,5
2133,5
2134,5
2135,6
2136,6
2137,6
2138,7
2139,7
2140,7
2141,7
2142,8
2143,8
2144,8
2145,9
2146,9
2147,9
2148,10
2149,10
2150,10
2151,11
2152,11
2153,11
2154,11
2155,12
2156,12
2157,12
2158,13
2159,13
2160,13
2161,14
2162,14
2163,14
2164,15
2165,15
2166,15
2167,15
2168,16
2169,16
2170,16
2171,17
2172,17
2173,17
2174,18
2175,18
2176,18
2177,19
2178,19
2179,19
2180,19
2181,20
2182,20
2183,20
2184,21
2185,21
2186,21
2187,22
2188,22
2189,22
2190,23
2191,23
2192,23
2193,23
2194,24
2195,24
2196,24
2197,25
2198,25
2199,25
2200,26
2201,26
2202,26
2203,27
2204,27
2205,27
2206,27
2207,28
2208,28
2209,28
2210,28
2211,29
2212,29
2213,29
2214,29
2215,30
2216,30
2217,30
2218,30
2219,31
2220,31
2221,31
2222,31
2223,32
2224,32
2225,32
2226,32
2227,33
2228,33
2229,33
2230,33
2231,34
2232,34
2233,34
2234,34
2235,35
2236,35
2237,35
2238,35
2239,36
2240,36
2241,36
2242,36
2243,37
2244,37
2245,37
2246,37
1744,38
1745,38
1746,38
1747,39
1748,39
1749,39
1750,40
1751,40
1752,40
1753,41
1754,41
1755,41
1756,42
1757,42
1758,42
1759,43
1760,43
1761,43
1762,44
1763,44
1764,44
1765,45
1766,45
1767,45
1768,46
1769,46
1770,46
1771,47
1772,47
1773,47
1774,48
1775,48
1776,48
1777,49
1778,49
1779,49
1780,50
1781,50
1782,50
1783,51
1784,51
1785,51
1786,52
1787,52
1788,52
1789,53
1790,53
1791,53
1792,54
1793,54
1794,54
1795,55
1796,55
1797,55
1798,56
1799,56
1800,56
1801,57
1802,57
1803,57
1804,58
1805,58
1806,58
1807,59
1808,59
1809,59
1810,60
1811,60
1812,60
1813,61
1814,61
1815,61
1816,62
1817,62
1818,62
1819,63
1820,63
1821,63
1822,64
1823,64
1824,64
1825,65
1826,65
1827,65
1828,66
1829,66
1830,66
1831,67
1832,67
1833,67
1834,68
1835,68
1836,68
1837,69
1838,69
1839,69
1840,70
1841,70
1842,70
1843,71
1844,71
1845,71
1846,72
1847,72
1848,72
1849,73
1850,73
1851,73
1852,74
1853,74
1854,74
1855,75
1856,75
1857,75
1858,76
1859,76
1860,76
1861,77
1862,77
1863,77
1864,78
1865,78
1866,78
1867,79
1868,79
1869,79
1870,80
1871,80
1872,80
1873,81
1874,81
1875,81
1876,82
1877,82
1878,82
1879,83
1880,83
1881,83
1882,84
1883,84
1884,84
1885,85
1886,85
1887,85
1888,86
1889,86
1890,87
1891,87
1892,88
1893,88
1894,89
1895,90
